,video_name,MOS,Category,Resolution
109,CoverSong_1080P-5430,3.969,CoverSong,1080
110,CoverSong_1080P-5456,3.736,CoverSong,1080
111,CoverSong_1080P-5cae,3.209,CoverSong,1080
112,CoverSong_1080P-5e69,3.29,CoverSong,1080
113,CoverSong_1080P-5f92,4.043,CoverSong,1080
114,CoverSong_1080P-6f26,4.288,CoverSong,1080
115,CoverSong_360P-0a9d,2.538,CoverSong,360
116,CoverSong_360P-0aa2,2.511,CoverSong,360
117,CoverSong_360P-11f9,2.79,CoverSong,360
118,CoverSong_360P-130a,3.449,CoverSong,360
119,CoverSong_360P-13d2,2.578,CoverSong,360
120,CoverSong_360P-14b9,2.633,CoverSong,360
121,CoverSong_360P-1b2b,3.409,CoverSong,360
122,CoverSong_360P-2146,2.273,CoverSong,360
123,CoverSong_360P-2b4d,2.796,CoverSong,360
124,CoverSong_360P-3218,2.427,CoverSong,360
125,CoverSong_360P-4add,2.855,CoverSong,360
126,CoverSong_360P-53a6,3.235,CoverSong,360
127,CoverSong_360P-59d1,2.828,CoverSong,360
128,CoverSong_360P-5a24,2.789,CoverSong,360
129,CoverSong_360P-5d20,2.943,CoverSong,360
130,CoverSong_360P-67ec,2.404,CoverSong,360
131,CoverSong_360P-69ef,3.145,CoverSong,360
132,CoverSong_360P-6d6a,3.273,CoverSong,360
133,CoverSong_360P-6da7,2.763,CoverSong,360
134,CoverSong_480P-0170,3.118,CoverSong,480
135,CoverSong_480P-1019,3.815,CoverSong,480
136,CoverSong_480P-1109,2.826,CoverSong,480
137,CoverSong_480P-2142,3.25,CoverSong,480
138,CoverSong_480P-2207,2.934,CoverSong,480
139,CoverSong_480P-2711,2.514,CoverSong,480
140,CoverSong_480P-2d2c,3.837,CoverSong,480
141,CoverSong_480P-3076,1.71,CoverSong,480
142,CoverSong_480P-35e1,3.608,CoverSong,480
143,CoverSong_480P-3e4b,2.877,CoverSong,480
144,CoverSong_480P-3e92,4.235,CoverSong,480
145,CoverSong_480P-3f3b,3.027,CoverSong,480
146,CoverSong_480P-41a5,3.27,CoverSong,480
147,CoverSong_480P-4d34,2.677,CoverSong,480
148,CoverSong_480P-53f4,3.169,CoverSong,480
149,CoverSong_480P-59f2,3.418,CoverSong,480
150,CoverSong_480P-5b62,3.056,CoverSong,480
151,CoverSong_480P-60a6,2.369,CoverSong,480
152,CoverSong_480P-64d0,3.917,CoverSong,480
153,CoverSong_480P-6c3e,2.502,CoverSong,480
154,CoverSong_480P-6c50,2.729,CoverSong,480
155,CoverSong_480P-7443,3.65,CoverSong,480
156,CoverSong_480P-7f6d,3.048,CoverSong,480
157,CoverSong_720P-014c,2.618,CoverSong,720
158,CoverSong_720P-01a1,3.713,CoverSong,720
159,CoverSong_720P-0239,2.52,CoverSong,720
160,CoverSong_720P-05d6,3.744,CoverSong,720
161,CoverSong_720P-10f1,2.805,CoverSong,720
162,CoverSong_720P-1393,4.059,CoverSong,720
163,CoverSong_720P-1928,3.423,CoverSong,720
164,CoverSong_720P-2d05,3.224,CoverSong,720
165,CoverSong_720P-3261,3.942,CoverSong,720
166,CoverSong_720P-3dca,3.412,CoverSong,720
167,CoverSong_720P-4006,3.414,CoverSong,720
168,CoverSong_720P-449f,3.496,CoverSong,720
169,CoverSong_720P-5689,2.317,CoverSong,720
170,CoverSong_720P-5ba2,2.834,CoverSong,720
171,CoverSong_720P-60d3,2.991,CoverSong,720
172,CoverSong_720P-6626,3.316,CoverSong,720
173,CoverSong_720P-6ae4,3.769,CoverSong,720
174,CoverSong_720P-6b8c,2.988,CoverSong,720
175,CoverSong_720P-6d6a,3.52,CoverSong,720
176,CoverSong_720P-6d81,3.145,CoverSong,720
177,CoverSong_720P-7360,2.798,CoverSong,720
178,CoverSong_720P-7539,2.348,CoverSong,720
179,CoverSong_720P-799b,3.807,CoverSong,720
180,Gaming_1080P-0219,3.513,Gaming,1080
181,Gaming_1080P-0a5b,3.556,Gaming,1080
182,Gaming_1080P-0ce6,3.968,Gaming,1080
183,Gaming_1080P-0ef8,3.781,Gaming,1080
184,Gaming_1080P-12d4,4.494,Gaming,1080
185,Gaming_1080P-13e3,4.434,Gaming,1080
186,Gaming_1080P-1704,4.295,Gaming,1080
187,Gaming_1080P-173a,3.013,Gaming,1080
188,Gaming_1080P-18b8,3.165,Gaming,1080
189,Gaming_1080P-190d,3.898,Gaming,1080
190,Gaming_1080P-1f29,3.298,Gaming,1080
191,Gaming_1080P-2221,4.239,Gaming,1080
192,Gaming_1080P-223e,4.283,Gaming,1080
193,Gaming_1080P-26dc,3.541,Gaming,1080
194,Gaming_1080P-2768,3.466,Gaming,1080
195,Gaming_1080P-277c,3.884,Gaming,1080
196,Gaming_1080P-2927,4.441,Gaming,1080
197,Gaming_1080P-29b1,3.829,Gaming,1080
198,Gaming_1080P-2e97,4.391,Gaming,1080
199,Gaming_1080P-35fa,3.035,Gaming,1080
200,Gaming_1080P-3a9d,3.872,Gaming,1080
201,Gaming_1080P-3bf7,3.245,Gaming,1080
202,Gaming_1080P-3d58,3.782,Gaming,1080
203,Gaming_1080P-4047,3.099,Gaming,1080
204,Gaming_1080P-44c4,3.839,Gaming,1080
205,Gaming_1080P-45af,4.373,Gaming,1080
206,Gaming_1080P-45fc,3.695,Gaming,1080
207,Gaming_1080P-4865,4.355,Gaming,1080
208,Gaming_1080P-51fc,4.377,Gaming,1080
209,Gaming_1080P-55ac,4.448,Gaming,1080
210,Gaming_1080P-5608,4.067,Gaming,1080
211,Gaming_1080P-564e,4.322,Gaming,1080
212,Gaming_1080P-57ca,4.409,Gaming,1080
213,Gaming_1080P-58ba,3.952,Gaming,1080
214,Gaming_1080P-592a,3.964,Gaming,1080
215,Gaming_1080P-593f,3.409,Gaming,1080
216,Gaming_1080P-5ae7,3.328,Gaming,1080
217,Gaming_1080P-6530,3.92,Gaming,1080
218,Gaming_1080P-6578,4.399,Gaming,1080
219,Gaming_1080P-66d2,4.142,Gaming,1080
220,Gaming_1080P-698a,3.743,Gaming,1080
221,Gaming_1080P-6a78,4.148,Gaming,1080
222,Gaming_1080P-6d53,3.821,Gaming,1080
223,Gaming_1080P-6db2,3.475,Gaming,1080
224,Gaming_1080P-6dc6,4.602,Gaming,1080
225,Gaming_1080P-6e45,2.517,Gaming,1080
226,Gaming_1080P-71a5,4.482,Gaming,1080
227,Gaming_1080P-72c8,4.366,Gaming,1080
228,Gaming_1080P-777b,4.05,Gaming,1080
229,Gaming_1080P-7a1e,4.024,Gaming,1080
230,Gaming_2160P-2436,4.473,Gaming,2160
231,Gaming_2160P-28de,4.349,Gaming,2160
232,Gaming_2160P-2b92,3.632,Gaming,2160
233,Gaming_2160P-2cb1,4.481,Gaming,2160
234,Gaming_2160P-2dc4,4.383,Gaming,2160
235,Gaming_2160P-3002,4.337,Gaming,2160
236,Gaming_2160P-31f6,4.311,Gaming,2160
237,Gaming_2160P-348d,4.443,Gaming,2160
238,Gaming_2160P-34a1,4.414,Gaming,2160
239,Gaming_2160P-387f,4.513,Gaming,2160
240,Gaming_2160P-3a25,4.502,Gaming,2160
241,Gaming_2160P-3aec,4.646,Gaming,2160
242,Gaming_2160P-3ce4,4.529,Gaming,2160
243,Gaming_2160P-4139,3.923,Gaming,2160
244,Gaming_2160P-416f,4.332,Gaming,2160
245,Gaming_2160P-4258,4.067,Gaming,2160
246,Gaming_2160P-5c33,2.834,Gaming,2160
247,Gaming_2160P-5c53,4.309,Gaming,2160
248,Gaming_2160P-5f40,3.734,Gaming,2160
249,Gaming_2160P-673d,4.165,Gaming,2160
250,Gaming_2160P-67b0,4.204,Gaming,2160
251,Gaming_2160P-6bb6,4.537,Gaming,2160
252,Gaming_2160P-6cd8,4.31,Gaming,2160
253,Gaming_2160P-7a5f,4.395,Gaming,2160
254,Gaming_2160P-7e80,4.108,Gaming,2160
255,Gaming_2160P-7ff0,4.238,Gaming,2160
256,Gaming_360P-043e,2.582,Gaming,360
257,Gaming_360P-0b98,3.14,Gaming,360
258,Gaming_360P-0e0b,3.006,Gaming,360
259,Gaming_360P-187a,3.133,Gaming,360
260,Gaming_360P-1ab1,2.964,Gaming,360
261,Gaming_360P-1e31,2.186,Gaming,360
262,Gaming_360P-2141,1.927,Gaming,360
263,Gaming_360P-215f,2.869,Gaming,360
264,Gaming_360P-2164,3.245,Gaming,360
265,Gaming_360P-21d2,2.372,Gaming,360
266,Gaming_360P-2330,2.607,Gaming,360
267,Gaming_360P-279f,2.841,Gaming,360
268,Gaming_360P-2cca,3.374,Gaming,360
269,Gaming_360P-2f99,3.281,Gaming,360
270,Gaming_360P-3794,1.475,Gaming,360
271,Gaming_360P-3a6b,2.763,Gaming,360
272,Gaming_360P-3eb6,3.184,Gaming,360
273,Gaming_360P-48b0,3.427,Gaming,360
274,Gaming_360P-4f09,3.506,Gaming,360
275,Gaming_360P-5635,3.102,Gaming,360
276,Gaming_360P-56fe,2.439,Gaming,360
277,Gaming_360P-586d,3.026,Gaming,360
278,Gaming_360P-5e0f,3.012,Gaming,360
279,Gaming_360P-6207,3.349,Gaming,360
280,Gaming_360P-63e6,2.636,Gaming,360
281,Gaming_360P-6bdb,2.934,Gaming,360
282,Gaming_360P-7007,3.194,Gaming,360
283,Gaming_360P-73c7,3.247,Gaming,360
284,Gaming_360P-7975,2.761,Gaming,360
285,Gaming_360P-7acb,3.059,Gaming,360
286,Gaming_480P-0109,2.436,Gaming,480
287,Gaming_480P-062e,3.435,Gaming,480
288,Gaming_480P-09ab,3.795,Gaming,480
289,Gaming_480P-0a03,2.676,Gaming,480
290,Gaming_480P-0a30,2.661,Gaming,480
291,Gaming_480P-0d23,3.466,Gaming,480
292,Gaming_480P-0dbc,2.973,Gaming,480
293,Gaming_480P-14fc,3.822,Gaming,480
294,Gaming_480P-1542,2.776,Gaming,480
295,Gaming_480P-20ca,2.891,Gaming,480
296,Gaming_480P-2cfc,3.961,Gaming,480
297,Gaming_480P-2d1b,3.948,Gaming,480
298,Gaming_480P-3888,3.464,Gaming,480
299,Gaming_480P-3a44,3.043,Gaming,480
300,Gaming_480P-445b,3.714,Gaming,480
301,Gaming_480P-4560,3.904,Gaming,480
302,Gaming_480P-5a5a,3.478,Gaming,480
303,Gaming_480P-61ee,3.631,Gaming,480
304,Gaming_480P-626a,3.786,Gaming,480
305,Gaming_480P-6491,3.013,Gaming,480
306,Gaming_480P-6548,2.871,Gaming,480
307,Gaming_480P-6a5a,3.468,Gaming,480
308,Gaming_480P-6c92,2.348,Gaming,480
309,Gaming_480P-6cdc,2.425,Gaming,480
310,Gaming_480P-6d1e,2.674,Gaming,480
311,Gaming_480P-6f4b,3.67,Gaming,480
312,Gaming_480P-75f7,2.798,Gaming,480
313,Gaming_480P-7893,2.761,Gaming,480
314,Gaming_480P-7a08,3.792,Gaming,480
315,Gaming_480P-7ccb,3.581,Gaming,480
316,Gaming_480P-7e76,2.397,Gaming,480
317,Gaming_720P-0fba,4.089,Gaming,720
318,Gaming_720P-0fdb,3.263,Gaming,720
319,Gaming_720P-1035,3.683,Gaming,720
320,Gaming_720P-103a,4.056,Gaming,720
321,Gaming_720P-1cbb,4.01,Gaming,720
322,Gaming_720P-221d,3.252,Gaming,720
323,Gaming_720P-25aa,2.952,Gaming,720
324,Gaming_720P-2dbe,4.327,Gaming,720
325,Gaming_720P-312f,3.826,Gaming,720
326,Gaming_720P-324d,3.145,Gaming,720
327,Gaming_720P-3524,3.11,Gaming,720
328,Gaming_720P-40b2,3.855,Gaming,720
329,Gaming_720P-469a,4.124,Gaming,720
330,Gaming_720P-4813,4.29,Gaming,720
331,Gaming_720P-493e,3.567,Gaming,720
332,Gaming_720P-4cda,3.62,Gaming,720
333,Gaming_720P-5973,4.067,Gaming,720
334,Gaming_720P-5ba2,4.281,Gaming,720
335,Gaming_720P-6403,4.023,Gaming,720
336,Gaming_720P-64b0,4.396,Gaming,720
337,Gaming_720P-6625,3.813,Gaming,720
338,Gaming_720P-6658,3.715,Gaming,720
339,Gaming_720P-6a45,3.967,Gaming,720
340,Gaming_720P-7afd,2.486,Gaming,720
341,HDR_1080P-0d31,4.373,HDR,1080
342,HDR_1080P-13eb,3.761,HDR,1080
343,HDR_1080P-1be2,3.756,HDR,1080
344,HDR_1080P-1e5b,1.242,HDR,1080
345,HDR_1080P-206d,3.791,HDR,1080
346,HDR_1080P-282a,4.038,HDR,1080
347,HDR_1080P-2d32,4.503,HDR,1080
348,HDR_1080P-3181,3.777,HDR,1080
349,HDR_1080P-33e3,4.45,HDR,1080
350,HDR_1080P-3521,3.895,HDR,1080
351,HDR_1080P-35f4,4.16,HDR,1080
352,HDR_1080P-3749,4.08,HDR,1080
353,HDR_1080P-3a4a,3.824,HDR,1080
354,HDR_1080P-46a4,3.582,HDR,1080
355,HDR_1080P-49d6,4.589,HDR,1080
356,HDR_1080P-4f4a,3.51,HDR,1080
357,HDR_1080P-548b,4.626,HDR,1080
358,HDR_1080P-549e,4.064,HDR,1080
359,HDR_1080P-55c4,4.106,HDR,1080
360,HDR_1080P-601b,4.318,HDR,1080
361,HDR_1080P-687e,2.629,HDR,1080
362,HDR_1080P-68c8,3.804,HDR,1080
363,HDR_1080P-69de,4.181,HDR,1080
364,HDR_1080P-6eb7,4.046,HDR,1080
365,HDR_1080P-7825,4.514,HDR,1080
366,HDR_2160P-06ae,4.474,HDR,2160
367,HDR_2160P-0e7a,2.322,HDR,2160
368,HDR_2160P-15e2,4.191,HDR,2160
369,HDR_2160P-1743,4.254,HDR,2160
370,HDR_2160P-1e9e,4.356,HDR,2160
371,HDR_2160P-2a72,4.113,HDR,2160
372,HDR_2160P-351f,4.323,HDR,2160
373,HDR_2160P-3663,4.34,HDR,2160
374,HDR_2160P-382f,4.309,HDR,2160
375,HDR_2160P-3bf1,4.544,HDR,2160
376,HDR_2160P-40ab,4.105,HDR,2160
377,HDR_2160P-4348,4.466,HDR,2160
378,HDR_2160P-4581,3.979,HDR,2160
379,HDR_2160P-4d03,4.203,HDR,2160
380,HDR_2160P-4dcd,3.763,HDR,2160
381,HDR_2160P-51ea,4.106,HDR,2160
382,HDR_2160P-5275,4.206,HDR,2160
383,HDR_2160P-5926,4.386,HDR,2160
384,HDR_2160P-5c86,4.388,HDR,2160
385,HDR_2160P-5cdf,4.296,HDR,2160
386,HDR_2160P-5e25,4.209,HDR,2160
387,HDR_2160P-664d,3.753,HDR,2160
388,HDR_2160P-6c6e,4.566,HDR,2160
389,HDR_2160P-6ed1,3.724,HDR,2160
390,HDR_2160P-6eeb,4.402,HDR,2160
391,HDR_2160P-6fa4,4.266,HDR,2160
392,HDR_2160P-6fab,3.443,HDR,2160
393,HDR_2160P-70ca,3.905,HDR,2160
394,HowTo_1080P-0267,4.234,HowTo,1080
395,HowTo_1080P-03fd,3.517,HowTo,1080
396,HowTo_1080P-13aa,4.336,HowTo,1080
397,HowTo_1080P-1f3b,4.185,HowTo,1080
398,HowTo_1080P-2b64,4.221,HowTo,1080
399,HowTo_1080P-36a9,4.427,HowTo,1080
400,HowTo_1080P-4d7b,4.199,HowTo,1080
401,HowTo_1080P-52bb,4.272,HowTo,1080
402,HowTo_1080P-55d1,4.102,HowTo,1080
403,HowTo_1080P-63b4,4.286,HowTo,1080
404,HowTo_1080P-63e4,3.948,HowTo,1080
405,HowTo_1080P-63ec,4.229,HowTo,1080
406,HowTo_1080P-64f7,4.454,HowTo,1080
407,HowTo_1080P-6cbf,1.915,HowTo,1080
408,HowTo_1080P-7399,4.194,HowTo,1080
409,HowTo_1080P-763c,3.957,HowTo,1080
410,HowTo_1080P-7cf2,3.717,HowTo,1080
411,HowTo_1080P-7f18,3.718,HowTo,1080
412,HowTo_1080P-7f4c,4.092,HowTo,1080
413,HowTo_360P-041c,3.214,HowTo,360
414,HowTo_360P-0562,3.261,HowTo,360
415,HowTo_360P-06be,3.601,HowTo,360
416,HowTo_360P-09f8,2.951,HowTo,360
417,HowTo_360P-127f,3.332,HowTo,360
418,HowTo_360P-1823,3.056,HowTo,360
419,HowTo_360P-18e7,2.78,HowTo,360
420,HowTo_360P-1dba,1.907,HowTo,360
421,HowTo_360P-2074,3.536,HowTo,360
422,HowTo_360P-2a3b,2.589,HowTo,360
423,HowTo_360P-2d35,2.847,HowTo,360
424,HowTo_360P-2fd5,2.049,HowTo,360
425,HowTo_360P-3aa6,3.019,HowTo,360
426,HowTo_360P-4276,3.448,HowTo,360
427,HowTo_360P-4e4c,3.005,HowTo,360
428,HowTo_360P-55e9,3.496,HowTo,360
429,HowTo_360P-5da7,3.425,HowTo,360
430,HowTo_360P-6093,3.205,HowTo,360
431,HowTo_360P-6a0e,2.104,HowTo,360
432,HowTo_360P-7083,3.031,HowTo,360
433,HowTo_360P-7dcd,3.035,HowTo,360
434,HowTo_360P-7fb1,3.322,HowTo,360
435,HowTo_480P-04f1,3.454,HowTo,480
436,HowTo_480P-0cb3,3.592,HowTo,480
437,HowTo_480P-0d00,3.998,HowTo,480
438,HowTo_480P-0eb3,2.507,HowTo,480
439,HowTo_480P-118d,1.462,HowTo,480
440,HowTo_480P-15c1,3.264,HowTo,480
441,HowTo_480P-187c,3.321,HowTo,480
442,HowTo_480P-221e,3.283,HowTo,480
443,HowTo_480P-2610,2.981,HowTo,480
444,HowTo_480P-32c9,2.51,HowTo,480
445,HowTo_480P-3435,3.93,HowTo,480
446,HowTo_480P-4332,2.356,HowTo,480
447,HowTo_480P-470b,3.858,HowTo,480
448,HowTo_480P-48ac,3.1,HowTo,480
449,HowTo_480P-4948,2.551,HowTo,480
450,HowTo_480P-4a28,3.659,HowTo,480
451,HowTo_480P-4b6a,2.763,HowTo,480
452,HowTo_480P-4c99,2.94,HowTo,480
453,HowTo_480P-56a5,4.085,HowTo,480
454,HowTo_480P-5a3c,3.088,HowTo,480
455,HowTo_480P-60b3,3.576,HowTo,480
456,HowTo_480P-63a2,3.559,HowTo,480
457,HowTo_480P-64a2,2.836,HowTo,480
458,HowTo_480P-7579,4.079,HowTo,480
459,HowTo_480P-7c11,3.267,HowTo,480
460,HowTo_720P-017a,3.762,HowTo,720
461,HowTo_720P-06eb,4.13,HowTo,720
462,HowTo_720P-0a67,4.315,HowTo,720
463,HowTo_720P-0b01,4.111,HowTo,720
464,HowTo_720P-0c47,4.364,HowTo,720
465,HowTo_720P-111e,3.938,HowTo,720
466,HowTo_720P-12f7,3.3,HowTo,720
467,HowTo_720P-21c6,2.838,HowTo,720
468,HowTo_720P-269e,3.643,HowTo,720
469,HowTo_720P-2cc6,2.814,HowTo,720
470,HowTo_720P-3282,3.005,HowTo,720
471,HowTo_720P-37d0,4.429,HowTo,720
472,HowTo_720P-3813,3.072,HowTo,720
473,HowTo_720P-3a5d,2.536,HowTo,720
474,HowTo_720P-479b,3.62,HowTo,720
475,HowTo_720P-483c,3.485,HowTo,720
476,HowTo_720P-4d55,3.947,HowTo,720
477,HowTo_720P-4d9e,3.688,HowTo,720
478,HowTo_720P-6323,3.732,HowTo,720
479,HowTo_720P-6791,2.263,HowTo,720
480,HowTo_720P-7782,3.761,HowTo,720
481,HowTo_720P-7878,3.674,HowTo,720
482,HowTo_720P-7c38,4.074,HowTo,720
483,Lecture_1080P-011f,3.59,Lecture,1080
484,Lecture_1080P-0201,3.826,Lecture,1080
485,Lecture_1080P-0c8a,4.55,Lecture,1080
486,Lecture_1080P-0eb8,3.725,Lecture,1080
487,Lecture_1080P-1709,4.172,Lecture,1080
488,Lecture_1080P-1969,3.649,Lecture,1080
489,Lecture_360P-03bc,2.762,Lecture,360
490,Lecture_360P-051a,2.64,Lecture,360
491,Lecture_360P-114f,4.172,Lecture,360
492,Lecture_360P-20c3,3.133,Lecture,360
493,Lecture_360P-2276,3.742,Lecture,360
494,Lecture_360P-27db,3.092,Lecture,360
495,Lecture_360P-2c55,3.717,Lecture,360
496,Lecture_360P-2d1f,3.62,Lecture,360
497,Lecture_360P-30eb,3.35,Lecture,360
498,Lecture_360P-311d,3.603,Lecture,360
499,Lecture_360P-3590,3.703,Lecture,360
500,Lecture_360P-44c2,3.389,Lecture,360
501,Lecture_360P-4bb4,3.822,Lecture,360
502,Lecture_360P-4f00,3.172,Lecture,360
503,Lecture_360P-506c,3.168,Lecture,360
504,Lecture_360P-5594,3.367,Lecture,360
505,Lecture_360P-5779,3.069,Lecture,360
506,Lecture_360P-5aea,3.088,Lecture,360
507,Lecture_360P-5d0a,3.416,Lecture,360
508,Lecture_360P-63bf,3.267,Lecture,360
509,Lecture_360P-6656,3.458,Lecture,360
510,Lecture_360P-6702,3.819,Lecture,360
511,Lecture_360P-6d29,2.99,Lecture,360
512,Lecture_360P-7550,3.033,Lecture,360
513,Lecture_360P-7a57,3.493,Lecture,360
514,Lecture_360P-7f7e,3.679,Lecture,360
515,Lecture_480P-02f2,3.261,Lecture,480
516,Lecture_480P-10de,3.744,Lecture,480
517,Lecture_480P-11df,3.514,Lecture,480
518,Lecture_480P-181a,1.785,Lecture,480
519,Lecture_480P-1ec3,3.186,Lecture,480
520,Lecture_480P-2513,1.879,Lecture,480
521,Lecture_480P-2655,3.261,Lecture,480
522,Lecture_480P-2ed0,1.453,Lecture,480
523,Lecture_480P-369f,4.193,Lecture,480
524,Lecture_480P-3bdc,3.168,Lecture,480
525,Lecture_480P-41b7,3.328,Lecture,480
526,Lecture_480P-4272,3.457,Lecture,480
527,Lecture_480P-42c3,3.451,Lecture,480
528,Lecture_480P-4bc3,3.93,Lecture,480
529,Lecture_480P-4c86,3.666,Lecture,480
530,Lecture_480P-5aee,2.606,Lecture,480
531,Lecture_480P-5cd7,4.024,Lecture,480
532,Lecture_480P-5f3a,2.324,Lecture,480
533,Lecture_480P-6191,3.502,Lecture,480
534,Lecture_480P-6b1e,3.368,Lecture,480
535,Lecture_480P-71c0,3.249,Lecture,480
536,Lecture_480P-71d6,3.275,Lecture,480
537,Lecture_480P-7205,3.417,Lecture,480
538,Lecture_480P-73f6,3.256,Lecture,480
539,Lecture_480P-74cf,3.428,Lecture,480
540,Lecture_480P-74ea,3.258,Lecture,480
541,Lecture_480P-7d77,3.598,Lecture,480
542,Lecture_480P-7e55,3.538,Lecture,480
543,Lecture_480P-7eec,3.015,Lecture,480
544,Lecture_720P-003a,3.812,Lecture,720
545,Lecture_720P-07e0,4.082,Lecture,720
546,Lecture_720P-094d,3.616,Lecture,720
547,Lecture_720P-0f64,3.58,Lecture,720
548,Lecture_720P-1033,3.541,Lecture,720
549,Lecture_720P-10bc,3.116,Lecture,720
